City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,lukaya,-0.1489,31.8748,21.55,59,75,0.98,UG,1675617786
202,khatanga,71.9667,102.5,-33.99,95,98,2.37,RU,1675617579
203,ribeira grande,38.5167,-28.7,17.22,82,40,6.26,PT,1675617787
204,bintulu,3.1667,113.0333,25.23,94,20,1.54,MY,1675617787
205,kahului,20.8947,-156.47,23.25,90,20,3.58,US,1675617787
206,saskylakh,71.9167,114.0833,-40.01,100,100,1.75,RU,1675617580
207,segou,13.4317,-6.2157,34.11,9,22,3.84,ML,1675617788
208,katangli,51.7102,143.2326,-19.75,95,100,3.49,RU,1675617788
209,jiuquan,39.7432,98.5174,-3.0,42,4,1.23,CN,1675617788
210,kaitangata,-46.2817,169.8464,12.35,93,96,2.3,NZ,1675617789
211,ahipara,-35.1667,173.1667,17.47,92,97,3.42,NZ,1675617789
212,narasapur,16.45,81.6667,20.4,89,1,1.35,IN,1675617789
213,cherskiy,68.75,161.3,-40.94,100,100,2.21,RU,1675617790
214,bangassou,4.7413,22.8184,28.31,18,9,0.8,CF,1675617790
215,nantucket,41.2835,-70.0995,8.06,72,0,7.72,US,1675617695
216,havoysund,70.9963,24.6622,-1.87,97,100,19.11,NO,1675617790
217,chuy,-33.6971,-53.4616,25.9,49,12,4.96,UY,1675617791
218,molina,-35.1167,-71.2833,25.85,50,1,2.06,CL,1675617791
219,constitucion,-35.3333,-72.4167,20.79,70,46,3.54,CL,1675617791
220,loa janan,-0.583,117.095,23.05,98,78,0.47,ID,1675617792
221,te anau,-45.4167,167.7167,13.95,91,100,3.85,NZ,1675617645
222,hinton,53.4001,-117.5857,-2.42,90,100,3.77,CA,1675617792
223,necochea,-38.5473,-58.7368,31.57,27,51,2.19,AR,1675617792
224,coihaique,-45.5752,-72.0662,21.97,35,20,3.6,CL,1675617706
225,plettenberg bay,-34.0527,23.3716,22.91,78,50,3.31,ZA,1675617721
226,lima duarte,-21.8425,-43.7931,29.01,61,33,2.87,BR,1675617793
227,vung tau,10.346,107.0843,25.15,80,2,8.05,VN,1675617793
228,thompson,55.7435,-97.8558,-17.91,78,100,1.03,CA,1675617551
229,klaeng,12.7797,101.6483,27.23,95,14,1.75,TH,1675617794
230,paracuru,-3.41,-39.0306,28.39,66,93,5.21,BR,1675617794
231,clones,54.1833,-7.2333,4.91,81,66,4.17,IE,1675617794
232,srostki,52.4189,85.7022,-18.35,100,70,2.15,RU,1675617795
233,caraballeda,10.6112,-66.8522,32.04,68,20,2.06,VE,1675617795
234,ust-uda,54.1742,103.0304,-23.61,100,100,0.59,RU,1675617795
235,guerrero negro,27.9769,-114.0611,16.62,70,0,5.34,MX,1675617695
